"Kod";"Nazwa";"styczeń;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2016;[zł]";"styczeń;filety z morszczuka mrożone - za 1kg;cena;2016;[zł]";"styczeń;karp świeży - za 1kg;cena;2016;[zł]";"styczeń;ser dojrzewający - za 1kg;cena;2016;[zł]";"styczeń;cukier biały kryształ - za 1kg;cena;2016;[zł]";"styczeń;sok jabłkowy - za 1l;cena;2016;[zł]";"styczeń;piwo jasne pełne, butelkowane - za 0,5l;cena;2016;[zł]";"styczeń;mydło toaletowe - za 100g;cena;2016;[zł]";"styczeń;pasta do zębów - za 100 ml;cena;2016;[zł]";"luty;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2016;[zł]";"luty;filety z morszczuka mrożone - za 1kg;cena;2016;[zł]";"luty;karp świeży - za 1kg;cena;2016;[zł]";"luty;ser dojrzewający - za 1kg;cena;2016;[zł]";"luty;cukier biały kryształ - za 1kg;cena;2016;[zł]";"luty;sok jabłkowy - za 1l;cena;2016;[zł]";"luty;piwo jasne pełne, butelkowane - za 0,5l;cena;2016;[zł]";"luty;mydło toaletowe - za 100g;cena;2016;[zł]";"luty;pasta do zębów - za 100 ml;cena;2016;[zł]";"marzec;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2016;[zł]";"marzec;filety z morszczuka mrożone - za 1kg;cena;2016;[zł]";"marzec;karp świeży - za 1kg;cena;2016;[zł]";"marzec;ser dojrzewający - za 1kg;cena;2016;[zł]";"marzec;cukier biały kryształ - za 1kg;cena;2016;[zł]";"marzec;sok jabłkowy - za 1l;cena;2016;[zł]";"marzec;piwo jasne pełne, butelkowane - za 0,5l;cena;2016;[zł]";"marzec;mydło toaletowe - za 100g;cena;2016;[zł]";"marzec;pasta do zębów - za 100 ml;cena;2016;[zł]";"kwiecień;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2016;[zł]";"kwiecień;filety z morszczuka mrożone - za 1kg;cena;2016;[zł]";"kwiecień;karp świeży - za 1kg;cena;2016;[zł]";"kwiecień;ser dojrzewający - za 1kg;cena;2016;[zł]";"kwiecień;cukier biały kryształ - za 1kg;cena;2016;[zł]";"kwiecień;sok jabłkowy - za 1l;cena;2016;[zł]";"kwiecień;piwo jasne pełne, butelkowane - za 0,5l;cena;2016;[zł]";"kwiecień;mydło toaletowe - za 100g;cena;2016;[zł]";"kwiecień;pasta do zębów - za 100 ml;cena;2016;[zł]";"maj;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2016;[zł]";"maj;filety z morszczuka mrożone - za 1kg;cena;2016;[zł]";"maj;karp świeży - za 1kg;cena;2016;[zł]";"maj;ser dojrzewający - za 1kg;cena;2016;[zł]";"maj;cukier biały kryształ - za 1kg;cena;2016;[zł]";"maj;sok jabłkowy - za 1l;cena;2016;[zł]";"maj;piwo jasne pełne, butelkowane - za 0,5l;cena;2016;[zł]";"maj;mydło toaletowe - za 100g;cena;2016;[zł]";"maj;pasta do zębów - za 100 ml;cena;2016;[zł]";"czerwiec;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2016;[zł]";"czerwiec;filety z morszczuka mrożone - za 1kg;cena;2016;[zł]";"czerwiec;karp świeży - za 1kg;cena;2016;[zł]";"czerwiec;ser dojrzewający - za 1kg;cena;2016;[zł]";"czerwiec;cukier biały kryształ - za 1kg;cena;2016;[zł]";"czerwiec;sok jabłkowy - za 1l;cena;2016;[zł]";"czerwiec;piwo jasne pełne, butelkowane - za 0,5l;cena;2016;[zł]";"czerwiec;mydło toaletowe - za 100g;cena;2016;[zł]";"czerwiec;pasta do zębów - za 100 ml;cena;2016;[zł]";"lipiec;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2016;[zł]";"lipiec;filety z morszczuka mrożone - za 1kg;cena;2016;[zł]";"lipiec;karp świeży - za 1kg;cena;2016;[zł]";"lipiec;ser dojrzewający - za 1kg;cena;2016;[zł]";"lipiec;cukier biały kryształ - za 1kg;cena;2016;[zł]";"lipiec;sok jabłkowy - za 1l;cena;2016;[zł]";"lipiec;piwo jasne pełne, butelkowane - za 0,5l;cena;2016;[zł]";"lipiec;mydło toaletowe - za 100g;cena;2016;[zł]";"lipiec;pasta do zębów - za 100 ml;cena;2016;[zł]";"sierpień;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2016;[zł]";"sierpień;filety z morszczuka mrożone - za 1kg;cena;2016;[zł]";"sierpień;karp świeży - za 1kg;cena;2016;[zł]";"sierpień;ser dojrzewający - za 1kg;cena;2016;[zł]";"sierpień;cukier biały kryształ - za 1kg;cena;2016;[zł]";"sierpień;sok jabłkowy - za 1l;cena;2016;[zł]";"sierpień;piwo jasne pełne, butelkowane - za 0,5l;cena;2016;[zł]";"sierpień;mydło toaletowe - za 100g;cena;2016;[zł]";"sierpień;pasta do zębów - za 100 ml;cena;2016;[zł]";"wrzesień;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2016;[zł]";"wrzesień;filety z morszczuka mrożone - za 1kg;cena;2016;[zł]";"wrzesień;karp świeży - za 1kg;cena;2016;[zł]";"wrzesień;ser dojrzewający - za 1kg;cena;2016;[zł]";"wrzesień;cukier biały kryształ - za 1kg;cena;2016;[zł]";"wrzesień;sok jabłkowy - za 1l;cena;2016;[zł]";"wrzesień;piwo jasne pełne, butelkowane - za 0,5l;cena;2016;[zł]";"wrzesień;mydło toaletowe - za 100g;cena;2016;[zł]";"wrzesień;pasta do zębów - za 100 ml;cena;2016;[zł]";"październik;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2016;[zł]";"październik;filety z morszczuka mrożone - za 1kg;cena;2016;[zł]";"październik;karp świeży - za 1kg;cena;2016;[zł]";"październik;ser dojrzewający - za 1kg;cena;2016;[zł]";"październik;cukier biały kryształ - za 1kg;cena;2016;[zł]";"październik;sok jabłkowy - za 1l;cena;2016;[zł]";"październik;piwo jasne pełne, butelkowane - za 0,5l;cena;2016;[zł]";"październik;mydło toaletowe - za 100g;cena;2016;[zł]";"październik;pasta do zębów - za 100 ml;cena;2016;[zł]";"listopad;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2016;[zł]";"listopad;filety z morszczuka mrożone - za 1kg;cena;2016;[zł]";"listopad;karp świeży - za 1kg;cena;2016;[zł]";"listopad;ser dojrzewający - za 1kg;cena;2016;[zł]";"listopad;cukier biały kryształ - za 1kg;cena;2016;[zł]";"listopad;sok jabłkowy - za 1l;cena;2016;[zł]";"listopad;piwo jasne pełne, butelkowane - za 0,5l;cena;2016;[zł]";"listopad;mydło toaletowe - za 100g;cena;2016;[zł]";"listopad;pasta do zębów - za 100 ml;cena;2016;[zł]";"grudzień;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2016;[zł]";"grudzień;filety z morszczuka mrożone - za 1kg;cena;2016;[zł]";"grudzień;karp świeży - za 1kg;cena;2016;[zł]";"grudzień;ser dojrzewający - za 1kg;cena;2016;[zł]";"grudzień;cukier biały kryształ - za 1kg;cena;2016;[zł]";"grudzień;sok jabłkowy - za 1l;cena;2016;[zł]";"grudzień;piwo jasne pełne, butelkowane - za 0,5l;cena;2016;[zł]";"grudzień;mydło toaletowe - za 100g;cena;2016;[zł]";"grudzień;pasta do zębów - za 100 ml;cena;2016;[zł]";
0000000;"POLSKA";32,68;23,71;14,28;17,85;2,46;3,66;2,79;1,96;8,11;32,57;23,86;14,79;17,80;2,58;3,65;2,77;1,96;7,79;32,61;23,92;14,80;17,53;2,70;3,63;2,78;1,95;7,72;32,59;24,13;0,00;17,33;2,74;3,65;2,75;1,99;8,06;32,59;24,09;0,00;17,11;2,77;3,62;2,75;1,99;8,21;32,47;24,19;0,00;17,02;2,78;3,63;2,76;1,95;8,11;32,44;24,09;0,00;17,32;2,80;3,67;2,76;1,98;7,90;32,55;24,15;0,00;17,75;2,97;3,71;2,74;1,99;7,98;32,56;24,09;0,00;18,45;3,12;3,64;2,76;1,98;8,19;32,38;24,15;0,00;19,17;3,17;3,61;2,76;1,99;7,95;32,17;24,36;14,80;20,08;3,16;3,64;2,76;2,00;8,01;32,53;24,40;13,53;20,55;3,17;3,57;2,77;1,95;7,95;
0200000;"DOLNOŚLĄSKIE";35,30;26,08;13,68;18,51;2,44;3,77;2,72;2,03;8,31;35,30;26,36;15,50;18,81;2,64;3,73;2,74;2,04;8,34;35,00;26,42;17,00;18,62;2,70;3,65;2,68;2,00;8,17;35,00;26,97;0,00;17,84;2,79;3,66;2,72;2,02;8,40;35,00;26,97;0,00;17,89;2,78;3,57;2,79;2,02;8,42;34,35;26,97;0,00;17,42;2,86;3,67;2,78;2,00;8,43;34,16;27,09;0,00;17,15;2,90;3,79;2,79;2,03;8,54;34,23;27,09;0,00;17,39;3,03;3,90;2,78;2,06;8,56;34,23;27,24;0,00;18,75;3,17;3,84;2,77;2,08;8,79;33,82;27,55;0,00;19,55;3,26;3,92;2,76;2,08;8,54;33,82;27,55;13,52;20,66;3,24;4,00;2,75;2,08;8,36;34,06;27,71;12,62;20,88;3,33;3,88;2,76;2,03;8,64;
0400000;"KUJAWSKO-POMORSKIE";35,17;23,11;14,64;20,53;2,47;3,42;2,82;1,99;8,55;34,69;23,27;15,34;20,06;2,59;3,42;2,79;1,92;7,83;35,45;23,34;15,43;20,14;2,71;3,50;2,74;1,87;8,11;34,95;23,47;0,00;19,98;2,69;3,49;2,76;2,02;8,28;35,14;23,08;0,00;19,98;2,70;3,51;2,78;1,89;8,37;35,60;23,00;0,00;19,77;2,74;3,46;2,80;1,96;8,26;36,01;22,95;0,00;19,12;2,74;3,33;2,85;1,93;7,67;36,50;23,26;0,00;19,20;2,92;3,44;2,79;1,89;8,36;36,80;23,03;0,00;19,48;3,04;3,42;2,79;1,89;8,42;36,64;22,92;0,00;20,09;3,14;3,42;2,79;1,87;8,29;36,02;23,18;16,42;20,55;3,15;3,46;2,75;1,99;8,17;36,15;23,64;15,07;21,03;3,14;3,40;2,87;1,95;8,25;
0600000;"LUBELSKIE";29,75;24,59;13,77;17,76;2,40;3,67;2,88;2,01;7,97;29,33;24,82;14,16;17,81;2,53;3,75;2,80;2,05;8,13;29,75;24,92;14,16;18,08;2,68;3,67;2,88;2,01;7,60;30,34;24,92;0,00;18,20;2,67;3,77;2,87;2,01;8,40;29,92;24,29;0,00;17,82;2,79;3,77;2,93;2,02;7,71;29,09;24,37;0,00;16,63;2,80;3,69;2,84;2,03;7,94;29,09;24,37;0,00;17,02;2,80;3,77;2,82;2,04;7,67;29,85;24,96;0,00;17,13;2,96;3,71;2,78;2,07;7,31;29,02;25,12;0,00;18,10;3,14;3,82;2,78;2,07;8,07;29,10;25,12;0,00;17,96;3,12;3,61;2,79;2,10;7,59;28,72;25,12;13,93;19,20;3,16;3,53;2,79;2,04;7,97;28,72;24,87;12,72;19,39;3,10;3,52;2,84;2,00;7,59;
0800000;"LUBUSKIE";33,90;24,31;13,68;20,42;2,46;3,60;2,82;1,95;8,15;33,57;24,44;14,18;19,76;2,55;3,47;2,76;1,95;7,79;34,03;24,54;14,30;19,63;2,71;3,41;2,73;1,94;7,66;33,48;24,65;0,00;20,29;2,71;3,43;2,72;1,99;8,10;32,91;24,65;0,00;19,24;2,71;3,48;2,75;2,04;8,77;31,37;24,54;0,00;19,77;2,71;3,41;2,69;2,05;8,99;30,48;23,32;0,00;19,83;2,71;3,33;2,63;2,05;8,66;31,95;23,43;0,00;21,27;2,97;3,35;2,54;2,02;8,43;32,15;23,17;0,00;21,15;3,02;3,55;2,65;2,02;8,27;32,28;23,32;0,00;21,39;3,02;3,45;2,56;2,05;8,30;32,76;23,43;14,17;21,90;3,02;3,49;2,77;1,96;8,27;32,98;23,88;13,42;22,11;3,13;3,42;2,75;1,92;7,95;
1000000;"ŁÓDZKIE";31,10;22,41;14,76;16,18;2,45;3,78;2,79;1,93;7,95;31,10;22,28;14,97;15,95;2,54;3,88;2,82;1,88;7,68;31,56;22,06;14,96;15,64;2,68;3,70;2,80;1,91;7,49;31,49;22,41;0,00;15,36;2,70;3,68;2,73;1,94;8,07;31,63;22,56;0,00;15,14;2,74;3,79;2,68;1,91;8,55;31,40;22,71;0,00;15,18;2,74;3,74;2,76;1,88;8,10;31,47;23,09;0,00;15,43;2,75;3,74;2,73;1,97;8,04;31,55;23,09;0,00;16,32;2,99;3,87;2,75;1,99;7,84;31,71;22,38;0,00;17,53;3,16;3,82;2,77;2,01;8,25;31,62;21,99;0,00;18,46;3,17;3,66;2,78;2,05;7,89;30,42;23,15;14,93;19,78;3,17;3,76;2,83;2,03;7,75;32,32;22,01;13,58;20,32;3,18;3,59;2,79;1,98;7,59;
1200000;"MAŁOPOLSKIE";29,38;22,02;14,07;17,86;2,55;3,81;2,71;2,06;8,28;29,38;22,15;15,50;17,93;2,70;3,71;2,69;2,09;7,55;29,38;22,30;15,00;17,72;2,75;3,77;2,69;2,03;7,71;29,46;22,33;0,00;17,56;2,79;3,63;2,63;2,12;7,88;29,02;22,44;0,00;16,79;2,81;3,66;2,68;2,14;8,50;29,02;22,67;0,00;16,61;2,82;3,70;2,70;2,12;8,15;28,81;22,71;0,00;16,79;2,84;3,79;2,70;2,08;8,26;29,20;22,99;0,00;17,43;2,93;3,72;2,68;2,12;8,49;29,51;22,66;0,00;19,16;3,26;3,61;2,63;2,09;8,51;29,41;24,17;0,00;20,42;3,29;3,56;2,64;2,06;8,30;29,57;24,32;14,72;20,91;3,25;3,74;2,66;2,12;8,31;29,82;24,42;12,97;21,09;3,28;3,73;2,69;2,08;8,37;
1400000;"MAZOWIECKIE";31,21;22,14;13,85;17,36;2,52;3,78;2,88;1,92;7,89;31,17;21,40;14,40;17,01;2,62;3,76;2,84;1,90;8,04;31,63;21,90;14,02;16,50;2,66;3,75;2,87;1,94;7,98;31,06;22,46;0,00;16,60;2,78;3,84;2,84;1,95;8,17;31,35;22,41;0,00;16,64;2,80;3,72;2,82;1,93;8,08;30,88;22,44;0,00;16,80;2,84;3,87;2,87;1,96;7,97;31,13;22,11;0,00;16,97;2,82;3,79;2,85;1,95;7,70;30,86;22,05;0,00;17,57;2,97;3,98;2,83;1,99;8,10;31,21;22,11;0,00;18,02;3,12;3,78;2,86;1,98;8,09;30,82;21,90;0,00;18,79;3,19;3,79;2,94;1,98;7,90;31,06;22,14;14,92;19,39;3,21;3,82;2,85;2,05;8,15;30,56;22,33;13,21;20,14;3,23;3,64;2,87;1,99;7,97;
1600000;"OPOLSKIE";32,62;27,43;16,89;17,81;2,38;2,96;2,73;1,97;9,12;31,19;29,00;0,00;17,81;2,56;3,00;2,70;1,97;8,55;31,34;27,60;0,00;15,66;2,72;2,86;2,82;1,97;8,12;31,77;28,30;0,00;14,66;2,76;3,32;2,75;2,01;9,55;31,10;26,73;0,00;15,66;2,76;3,32;2,67;2,00;10,12;31,35;28,57;0,00;16,18;2,76;3,26;2,69;1,75;9,26;31,35;27,30;0,00;16,68;2,76;3,26;2,72;1,90;8,98;31,35;26,61;0,00;16,47;2,98;3,03;2,60;2,03;8,98;31,78;27,58;0,00;17,11;3,11;2,95;2,69;2,01;9,26;31,49;27,58;0,00;18,79;3,11;2,97;2,73;2,01;8,52;31,49;28,74;11,99;18,57;3,08;3,04;2,68;2,01;8,94;31,92;28,60;12,70;19,81;3,13;3,02;2,64;1,67;8,44;
1800000;"PODKARPACKIE";31,08;23,42;14,39;16,25;2,46;3,73;2,76;2,09;7,94;31,23;23,82;14,47;16,24;2,49;3,59;2,71;2,07;7,49;30,24;23,66;16,00;15,91;2,63;3,81;2,82;2,10;7,48;30,64;23,66;0,00;16,14;2,67;3,76;2,78;2,09;8,51;30,07;23,57;0,00;15,49;2,72;3,72;2,82;2,10;8,51;30,32;23,82;0,00;15,31;2,70;3,83;2,81;2,04;7,93;30,90;23,82;0,00;15,75;2,78;3,82;2,78;2,10;7,93;29,82;23,82;0,00;15,45;2,84;3,83;2,70;2,10;8,11;29,90;23,57;0,00;16,69;3,01;3,83;2,74;2,07;7,63;30,82;23,41;0,00;17,55;3,10;3,73;2,74;2,15;7,56;30,12;23,73;12,99;18,35;3,15;3,66;2,72;2,11;7,77;30,21;24,35;14,07;19,87;3,17;3,72;2,75;2,11;7,81;
